symbol,sector,change_pct,category
MAHSEAMLES,Capital Goods,-0.67,neutral
M&MFIN,Financial Services,1.68,neutral
M&M,Automobile and Auto Components,-0.67,neutral
MANAPPURAM,Financial Services,0.36,neutral
MRPL,Oil Gas & Consumable Fuels,0.22,neutral
MANKIND,Healthcare,1.11,neutral
MARICO,Fast Moving Consumer Goods,1.67,neutral
MARUTI,Automobile and Auto Components,-1.22,neutral
MFSL,Financial Services,1.28,neutral
MAXHEALTH,Healthcare,2.11,neutral
MAZDOCK,Capital Goods,0.31,neutral
METROPOLIS,Healthcare,-0.52,neutral
MINDACORP,Automobile and Auto Components,-0.48,neutral
MSUMI,Automobile and Auto Components,-0.37,neutral
MOTILALOFS,Financial Services,-0.21,neutral
MPHASIS,Information Technology,0.13,neutral
MCX,Financial Services,-0.04,neutral
MUTHOOTFIN,Financial Services,-2.45,neutral
NATCOPHARM,Healthcare,6.99,up_5_10
NBCC,Construction,1.76,neutral
NCC,Construction,-1.24,neutral
NHPC,Power,2.08,neutral
NLCINDIA,Power,-0.94,neutral
NMDC,Metals & Mining,1.3,neutral
NSLNISP,Metals & Mining,0.1,neutral
NTPCGREEN,Power,0.58,neutral
NTPC,Power,1.68,neutral
NH,Healthcare,0.94,neutral
NATIONALUM,Metals & Mining,-0.26,neutral
NAVA,Power,-0.17,neutral
NAVINFLUOR,Chemicals,-0.88,neutral
NESTLEIND,Fast Moving Consumer Goods,0.56,neutral
NETWEB,Information Technology,-0.96,neutral
NEULANDLAB,Healthcare,1.46,neutral
NEWGEN,Information Technology,-3.45,down_3_5
NAM-INDIA,Financial Services,1.24,neutral
NIVABUPA,Financial Services,-0.3,neutral
NUVAMA,Financial Services,-0.95,neutral
NUVOCO,Construction Materials,-0.97,neutral
OBEROIRLTY,Realty,1.07,neutral
ONGC,Oil Gas & Consumable Fuels,1.55,neutral
OIL,Oil Gas & Consumable Fuels,1.88,neutral
OLAELEC,Automobile and Auto Components,-6.67,down_5_10
OLECTRA,Automobile and Auto Components,0.15,neutral
PAYTM,Financial Services,-0.28,neutral
ONESOURCE,Healthcare,1.05,neutral
OFSS,Information Technology,0.9,neutral
POLICYBZR,Financial Services,-1.37,neutral
PCBL,Chemicals,-0.15,neutral
PGEL,Consumer Durables,0.67,neutral
PIIND,Chemicals,-3.05,down_3_5
PNBHOUSING,Financial Services,1.59,neutral
PTCIL,Capital Goods,-2.08,neutral
PVRINOX,Media Entertainment & Publication,-1.96,neutral
PAGEIND,Textiles,-0.31,neutral
PATANJALI,Fast Moving Consumer Goods,0.85,neutral
PERSISTENT,Information Technology,1.88,neutral
PETRONET,Oil Gas & Consumable Fuels,1.48,neutral
PFIZER,Healthcare,-0.4,neutral
PHOENIXLTD,Realty,2.18,neutral
PIDILITIND,Chemicals,0.54,neutral
PPLPHARMA,Healthcare,-1.14,neutral
POLYMED,Healthcare,0.9,neutral
POLYCAB,Capital Goods,0.64,neutral
POONAWALLA,Financial Services,-0.74,neutral
PFC,Financial Services,2.81,neutral
POWERGRID,Power,4.63,up_3_5
PRAJIND,Capital Goods,-1.91,neutral
PREMIERENE,Capital Goods,0.49,neutral
PRESTIGE,Realty,0.57,neutral
PGHH,Fast Moving Consumer Goods,-1.06,neutral
PNB,Financial Services,1.52,neutral
RRKABEL,Capital Goods,0.26,neutral
RBLBANK,Financial Services,0.18,neutral
RECLTD,Financial Services,1.9,neutral
RHIM,Capital Goods,5.86,up_5_10
RITES,Construction,0.72,neutral
RADICO,Fast Moving Consumer Goods,0.07,neutral
RVNL,Construction,0.23,neutral
RAILTEL,Telecommunication,-0.05,neutral
RAINBOW,Healthcare,-0.39,neutral
RKFORGE,Automobile and Auto Components,-1.76,neutral
RCF,Chemicals,0.87,neutral
REDINGTON,Services,-2.55,neutral
RELIANCE,Oil Gas & Consumable Fuels,1.23,neutral
RELINFRA,Power,-4.99,down_3_5
RPOWER,Power,-0.52,neutral
SBFC,Financial Services,-1.31,neutral
SBICARD,Financial Services,1.51,neutral
SBILIFE,Financial Services,0.4,neutral
SJVN,Power,1.49,neutral
SRF,Chemicals,0.51,neutral
SAGILITY,Information Technology,-2.92,neutral
SAILIFE,Healthcare,0.63,neutral
SAMMAANCAP,Financial Services,2.54,neutral
MOTHERSON,Automobile and Auto Components,0.8,neutral
SAPPHIRE,Consumer Services,-1.62,neutral
SARDAEN,Metals & Mining,0.43,neutral
SAREGAMA,Media Entertainment & Publication,-1.17,neutral
SCHAEFFLER,Automobile and Auto Components,0.67,neutral
